FIRM,PRICE,ACCOUNT SIZE,PROFIT SPLIT,PROFIT TARGET,MAX. DAILY LOSS,MAX. TOTAL DRAWDOWN,COMMISION PER ROUND LOT (FOREX),PROFIT TARGET TO DRAWDOWN RATIO,PAYOUT FREQUENCY,TRUST PILOT RATING,YEAR STABLISHED AND COUNTRY,LOYALTY POINTS,Name,Original Price,Discount Price,Account Size,Profit Split,Phase 1 Profit Target,Phase 2 Profit Target,Max Daily Loss,Max Total Drawdown,Daily Drawdown Reset Type,Drawdown Method,Minimun Trading Days,Maximun Trading Days,Stop-loss Required,Profit Target to Drawdown Ratio,Comissions (Forex),Leverage,Refund Fee,Scaling,Expert Advisors (EAS) Allowed,Copy Trading,News Trading,Weekend Holding,Auto-close at Target,Drawdown Blocker,Payout Frequency,Max Allocation (without scaling),Swap Free Accounts,Technology,Broker,Trading Platforms,Trust Pilot Rating,Established,Country,Loyalty Points,STEPS,logo
Funded Trading Plus,$349.00 $314.10 ,50K,80%,1: 10%,4%,6%,$7/round lot,1: 0.6,"Payout on demand, then every 7 Days",4.7,November 2021 United Kingdom,288,Funded Trading Plus - One-Phase Experienced - 1 Step 50K,$349.00,$314.10,50K,80%,10%, ,4%,6%,Balance-based,Relative Trailing,,Unlimited,No,1: 0.6,$7/round lot,Up to 30:1,"*Yes, 100% on every plan but in the Instant plan the fee is refund when you reach 10% profit on the funded stage",Yes,Yes,In-House,Yes,Yes,No,No,"Payout on demand, then every 7 Days",400K,No,White-Label,"GooeyTrade, Match Trade, Intertrader","MT4, MT5, cTrader, (DXTrade, Match Trader for US traders)",4.7,"November 1, 2021",United Kingdom,288,1 step,Funded Trading Plus.png
For Traders,$117.00 $98.28 ,15K,80% + 15% from challenge phase,1: 9%,3%,6%,$5/round lot,1: 0.67,14 Days,4.2,July 2023 United Arab Emirates,162,For Traders - 1-Step Challenge - 1-Step 15K,$117.00, ,15K,80% + 15% from challenge phase,9%, ,3%,6%,Balance-based,Trailing,3 Days,Unlimited,No,1: 0.67,$5/round lot,Up to 125:1,100%,Yes,No,Broker,Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,14 Days,300K,No,White-Label,Capital Markets,"cTrader, TradeLocker, (DXTrade for US traders)",4.2,"July 1, 2023",United Arab Emirates,162,1 step,For Traders.svg
FXIFY,$399.00 $339.15 ,100K,75%,1: 5% 2: 5% 3: 5%,5%,5%,$0,1: 0.33,"First payout on-demand, 30 days then after",4.3,April 2023 United Kingdom,746,FXIFY - 3-Phase - 3-Steps 100K,$399.00,$339.15,100K,75%,5%,5%,5%,5%,Balance-based,Static,5 Days,Unlimited,No,1: 0.33,$0,Up to 30:1,100%,Yes,Yes,Liquidity Providers,Yes,Yes,No,No,"First payout on-demand, 30 days then after",800K,No,White-Label,FXPIG,"MT4, MT5, (DXtrade for US traders)",4.3,"April 1, 2023",United Kingdom,746,3 steps,FXIFY.svg
AquaFunded,"$1,227.00 $858.90 ",200K,90% or 95%,1: 10% 2: 5%,5%,10%,$5,1: 0.67,14 Days or 7 Days,4.4,December 2023 United Arab Emirates,1535,AquaFunded - Whale Challenge - 2-Step Pro Challenge - 2-Steps 200K,"$1,227.00",$858.90,200K,90% or 95%,10%,5%,5%,10%,Equity-based,Static,3 Days,Unlimited,No,1: 0.67,$5,Up to 50:1,100%,Yes,Yes,Trading Platform(s),Yes,Yes,No,No,14 Days or 7 Days,400k,No,White-Label,Triskel Capital,"MT5, (TradeLocker, Match Trader for US Traders)",4.4,"December 1, 2023",United Arab Emirates,1535,2 steps,AquaFunded.svg
E8 Markets,$598.00 $478.40 ,200K,80%,1: 5% 2: 5% 3: 5%,5%,5%,"$0 standard, $5/round lot of raw spreads",1: 0.33,Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts,4.6,November 2021 United States,263,E8 Markets - E8 Track 1:1 - 3-Steps 200K,$598.00,$478.40,200K,80%,5%,5%,5%,5%,Balance-based,Static,1Day,Unlimited,No,1: 0.33,"$0 standard, $5/round lot of raw spreads",Up to 50:1,No,Yes,Yes,"Match Trader, TradeLocker",Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts,400K,No,In-House,Virtual Markets,"MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)",4.6,"November 1, 2021",United States,263,3 steps,E8 Markets.svg
FundedNext,"$1099.00 $1,044.05 ",200K,90% + 15% from challenge phase,1: 10%,3%,6%,$3/round lot,1: 0.6,"5 Days, then 5 business days",4.5,March 2022 United Arab Emirates,626,FundedNext - Stellar Challenge - 1-Step 200K,$1099.00,"$1,044.05",200K,90% + 15% from challenge phase,10%, ,3%,6%,Balance-based,Static,2 Days,Unlimited,No,1: 0.6,$3/round lot,Up to 30:1,100%,Yes,Yes,Buyers Rating,"Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.",Yes,No,No,"5 Days, then 5 business days","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)",Yes,In-House,FundedNext Ltd,"MT4, MT5, cTrader",4.5,"March 1, 2022",United Arab Emirates,626,1 step,FundedNext.svg
Funding Pips,$99.00 $92.07 ,10K,80%,1: 10%,4%,6%,$2/round lot,1: 0.6,"Weekly, every Tuesday",4.3,November 2022 United Arab Emirates,37,Funding Pips - Challenges - 1-Step 10K,$99.00,$92.07,10K,80%,10%, ,4%,6%,Balance / Equity - Highest at EOD,Static,3 Days,Unlimited,No,1: 0.6,$2/round lot,Up to 50:1,"*Yes, 100% but on the 4th payout",Yes,Yes,No,Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,"Weekly, every Tuesday",300K (50K for Pakistan traders),No,In-House,Liquidity Providers,"cTrader, (Match-Trader, TradeLocker for US traders)",4.3,"November 1, 2022",United Arab Emirates,37,1 step,Funding Pips.svg
Fintokei,€99.00 €89.10 ,10K,80% up to 95%,1: 8% 2: 5%,5%,10%,$6/round lot,1: 0.77,14 days from the day first trade was placed,4.8,April 2023 Czech Republic,98,Fintokei - Pro Trader - 2Phase Evaluation - 2-Step- 10K,€99.00,€89.10,10K,80% up to 95%,8%,5%,5%,10%,Equity-based - SOD,Static,3 Days,Unlimited,No,1: 0.77,$6/round lot,Up to 100:1,"Yes, only ProTrader on your first payout",Yes,Yes,News Trading,"Yes, we just advise clients to be careful during these periods of possible higher market volatility",Yes,No,No,14 days from the day first trade was placed,500K,No,White Label,Purple Trading Seychelles,"MT4, MT5, cTrader",4.8,"April 1, 2023",Czech Republic,98,2 steps,fintokei.svg
City Traders Imperium, ,80K,60% up 100%,x,,6%,$5.50/round lot,1: 0.6,"10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly",4.5,June 2018 United Arab Emirates,7918,City Traders Imperium - Direct Funding - Direct 80K,"$4,799.00", ,80K,60% up 100%, , , ,6%,Balance-based,Static,,Unlimited,Yes,1: 0.6,$5.50/round lot,Up to 10:1,"*Yes, 100% but only on the 2-step",Yes,Yes,Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,Yes,No,No,"10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly",160K,No,In-House,Mabicon,MT5,4.5,"June 1, 2018",United Arab Emirates,7918,Instant,City Traders Imperium.svg
City Traders Imperium,$59.00 $50.15 ,5K,80% up to 100% + Monthly Salary,1: 10% 2: 5%,5%,10%,$4.50/round lot,1: 0.67,"10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly",4.5,June 2018 United Arab Emirates,83,City Traders Imperium - 2-Step Challenge Funding - 2-Steps 5K,$59.00,$50.15,5K,80% up to 100% + Monthly Salary,10%,5%,5%,10%,Balance-based,Static,,Unlimited,Yes,1: 0.67,$4.50/round lot,Up to 30:1,"*Yes, 100% but only on the 2-step",Yes,Yes,Weekend Holding,Yes,Yes,No,No,"10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly",200K,No,In-House,Mabicon,MT5,4.5,"June 1, 2018",United Arab Emirates,83,2 steps,City Traders Imperium.svg
Trade The Pool,"$1,240.00 $1,116.00 ",260K,80%,"1: $12,000 (2xDD)","$2,000","$6,000",$0.005 with a minimum charge of $0.75 per trade,1: 0.5,14 days,4.5,September 2022 Israel,1228,Trade The Pool - Ultimate Buying Power - 1-Step - 260K,"$1,240.00","$1,116.00",260K,80%,"$12,000 (2xDD)", ,"$2,000","$6,000",Balance-based,Static,30 Days,45 Days,No,1: 0.5,$0.005 with a minimum charge of $0.75 per trade,Up to,No,Yes,No,Yes,Yes,Yes,No,No,14 days,No limit,No, ,Interactive Brokers,Trader Evolutions,4.5,"September 1, 2022",Israel,1228,1 step,Trade The Pool.svg
FundedNext,$139.00 $132.05 ,25K,80%,1: 8% 2: 4%,4%,8%,$7/round lot,1: 0.67,30 Days for the first payout and 14 Days after,4.5,March 2022 United Arab Emirates,79,FundedNext - Stellar Lite Challenge - 2-Steps 25K,$139.00,$132.05,25K,80%,8%,4%,4%,8%,Balance-based,Static,5 Days,Unlimited,No,1: 0.67,$7/round lot,Up to 100:1,100%,Yes,Yes,Auto-close at Target,"Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.",Yes,No,No,30 Days for the first payout and 14 Days after,"300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)",Yes,In-House,FundedNext Ltd,"MT4, MT5, cTrader",4.5,"March 1, 2022",United Arab Emirates,79,2 steps,FundedNext.svg
The Trading Pit,$999.00 $899.10 ,100K,80%,1: 10%,4%,7%,$5/round lot,1: 0.7,Upon hitting the profit target,4.0,October 2022 Liechtenstein,1484,The Trading Pit - CFD Classic - 1-Phase Evaluation - 1-Step 100K,$999.00,$899.10,100K,80%,10%, ,4%,7%,Equity-based at 16:00 CT,Trailing based on high-equity,5 Days,Unlimited,Yes,1: 0.7,$5/round lot,Up to 30:1,"*Yes, 100% only in the CFD challenge",Yes,Yes,Yes,Allowed with restriction: 2 minutes prior or after to high-impact news,Yes,No,No,Upon hitting the profit target,1 Earning account per user,No,In-House,"FXFlat, GBE Brokers","MT5, MT4 for CFD- Not available for US traders, ATAS, Quantower, R/Trader, Volsys for Futures- (available for US traders)",4.0,"October 1, 2022",Liechtenstein,1484,1 step,The Trading Pit.svg
AquaFunded,$417.00 $291.90 ,50K,90% or 95%,1: 10% 2: 5%,5%,10%,$5,1: 0.67,14 Days or 7 Days,4.4,December 2023 United Arab Emirates,512,AquaFunded - Dolphin Challenge - 2-Step Pro Challenge - 2-Steps 50K,$417.00,$291.90,50K,90% or 95%,10%,5%,5%,10%,Equity-based,Static,3 Days,Unlimited,No,1: 0.67,$5,Up to 50:1,100%,Yes,Yes,Drawdown Blocker,Yes,Yes,No,No,14 Days or 7 Days,400k,No,White-Label,Triskel Capital,"MT5, (TradeLocker, Match Trader for US Traders)",4.4,"December 1, 2023",United Arab Emirates,512,2 steps,AquaFunded.svg
Lark Funding,$75.00 $67.50 ,5K,80%,1: 10%,5%,6%,$7/round lot,1: 0.6,"First 30 days, then 14 days",4.3,June 2022 Canada,99,Lark Funding - 1-Stage Evaluation - 1-Step 5K,$75.00,$67.50,5K,80%,10%, ,5%,6%,Balance-based,Static,,Unlimited,No,1: 0.6,$7/round lot,Up to 10:1,No,No,Yes,Yes,Yes,No,Yes,No,"First 30 days, then 14 days",600K,Yes,White-Label,ThinkMarkets,"cTrader, (DXtrader for US traders)",4.3,"June 1, 2022",Canada,99,1 step,Lark Funding.svg
FundedNext,$999.00 $949.05 ,200K,80% + 15% from challenge phase,1: 8% 2: 5%,5%,10%,$3/round lot,1: 0.77,"First 30 days, then 14 Days",4.5,March 2022 United Arab Emirates,569,FundedNext - Stellar Challenge - 2-Steps 200K,$999.00,$949.05,200K,80% + 15% from challenge phase,8%,5%,5%,10%,Balance-based,Static,5 Days,Unlimited,No,1: 0.77,$3/round lot,Up to 100:1,100%,Yes,Yes,Payout Frequency,"Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.",Yes,No,No,"First 30 days, then 14 Days","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)",Yes,In-House,FundedNext Ltd,"MT4, MT5, cTrader",4.5,"March 1, 2022",United Arab Emirates,569,2 steps,FundedNext.svg
Maven, ,100K,80%,1: 8%,3%,5%,$4/round lot,1: 0.63,14 Days,4.6,November 2022 Canada,448,Maven - 1-Step Challenge - Standard - cTrader - 1-Step 100K,$399.00, ,100K,80%,8%, ,3%,5%,Balance / Equity - Highest at EOD,Trailing,,Unlimited,No,1: 0.63,$4/round lot,Up to 75:1,"*Yes, 100% for standard account on 3rd payout",Yes,Yes,"Weekly, every Tuesday",Allowed with restriction: 2 minutes before and after a red folder news,Yes,Yes,No,14 Days,200K,Yes,White-Label,Match Trade,"cTrader, (Match Trader for US traders)",4.6,"November 1, 2022",Canada,448,1 step,Maven.png
FundedNext,$549.00 $521.55 ,100K,60% + 15% from challenge phase,1: 25%,5%,10%,$3/round lot,1: 0.4,Monthly,4.5,March 2022 United Arab Emirates,313,FundedNext - Express Consistency - 1-Step 100K,$549.00,$521.55,100K,60% + 15% from challenge phase,25%, ,5%,10%,Balance-based,Static,10 Days,Unlimited,No,1: 0.4,$3/round lot,Up to 100:1,100%,Yes,Yes,Swap Free Accounts,"Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.",No,No,No,Monthly,"300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)",Yes,In-House,FundedNext Ltd,"MT4, MT5, cTrader",4.5,"March 1, 2022",United Arab Emirates,313,1 step,FundedNext.svg
Funded Trading Plus,"$1,097.00 $877.60 ",200K,80%,1: 8% 2: 5%,4%,8%,$7/round lot,1: 0.62,"Payout on demand, then every 7 Days",4.7,November 2021 United Kingdom,1086,Funded Trading Plus - Two-Phase Premium - 2-Steps 200K,"$1,097.00",$877.60,200K,80%,8%,5%,4%,8%,Balance-based,Relative Trailing,,Unlimited,No,1: 0.62,$7/round lot,Up to 30:1,"*Yes, 100% on every plan but in the Instant plan the fee is refund when you reach 10% profit on the funded stage",Yes,Yes,Yes,Yes,Yes,No,No,"Payout on demand, then every 7 Days",400K,No,White-Label,"GooeyTrade, Match Trade, Intertrader","MT4, MT5, cTrader, (DXTrade, Match Trader for US traders)",4.7,"November 1, 2021",United Kingdom,1086,2 steps,Funded Trading Plus.png
Finotive Funding,"$1,600.00 $1,200.00 ",200K,"75%, 100% after 30 days",1: 7.50% 2: 5%,5%,10%,$3/round lot,1: 0.8,"Payout on demand, then every 7 Days",3.8,April 2021 Cyprus,1109,Finotive Funding - 2 Phase Pro Challenge - 2-Step 200K,"$1,600.00","$1,200.00",200K,"75%, 100% after 30 days",7.50%,5%,5%,10%,Balance-based,Static,,Unlimited,Yes (Instant accounts only),1: 0.8,$3/round lot,Up to 400:1,"Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)",Yes,Yes,Technology,"Yes, News Straddling is Prohibited",Yes,No,No,"Payout on demand, then every 7 Days",1.4M,Yes,In-House,Finotive Markets LLC,MT5,3.8,"April 23, 2021",Hungary,1109,2 steps,Finotive Funding.svg
Fintokei,€419.00 €377.10 ,100K,50%,1: 2% 2: 3% 3: 6%,5%,10%,$6/round lot,1: 0.91,14 days from the day first trade was placed,4.8,April 2023 Czech Republic,415,Fintokei - Start Trader - 3Phase Evaluation - 3-Step- 100K,€419.00,€377.10,100K,50%,2%,3%,5%,10%,Equity-based - SOD,Trailing,3 Days,180 Days,No,1: 0.91,$6/round lot,Up to 25:1,"Yes, only ProTrader on your first payout",Yes,Yes,In-House,"Yes, we just advise clients to be careful during these periods of possible higher market volatility",Yes,No,No,14 days from the day first trade was placed,500K,No,White Label,Purple Trading Seychelles,"MT4, MT5, cTrader",4.8,"April 1, 2023",Czech Republic,415,3 steps,fintokei.svg
Blue Guardian,$297.00 $221.27 ,50K,85%,1: 10%,4%,6%,$5/round lot (Match Trade),1: 0.6,14 Days,4.1,June 2021 United Arab Emirates,343,Blue Guardian - Rapid Guardian - 1-Step 50K,$297.00,$221.27,50K,85%,10%, ,4%,6%,Balance / Equity - Highest at EOD,Trailing,3 Days with 0.5% profit each day,Unlimited,No,1: 0.6,$5/round lot (Match Trade),Up to 100:1 (evaluation leverage),100% on your 4th payout,Yes,Yes,Broker,Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.,Yes,No,Yes,14 Days,800K (50K for Pakistan traders),No,White-Label,*,"MT5, (TradeLocker, Match Trader for US traders)",4.1,"June 1, 2021",United Arab Emirates,343,1 step,Blue Guardian.svg
Maven,$190.00 $174.80 ,50K,80%,1: 8% 2: 5%,4%,8%,$4/round lot,1: 0.62,14 Days,4.6,November 2022 Canada,231,Maven - 2-Step Challenge - Standard - 2-Steps 50K,$190.00,$174.80,50K,80%,8%,5%,4%,8%,Balance / Equity - Highest at EOD,Static,,Unlimited,No,1: 0.62,$4/round lot,Up to 75:1,"*Yes, 100% for standard account on 3rd payout",Yes,Yes,Liquidity Providers,Allowed with restriction: 2 minutes before and after a red folder news,Yes,Yes,No,14 Days,200K,Yes,White-Label,Match Trade,"cTrader, (Match Trader for US traders)",4.6,"November 1, 2022",Canada,231,2 steps,Maven.png
Maven,$38.00 $34.96 ,10K,80%,1: 8%,3%,5%,$4/round lot,1: 0.63,14 Days,4.6,November 2022 Canada,46,Maven - 1-Step Challenge - Standard - 1-Step 10K,$38.00,$34.96,10K,80%,8%, ,3%,5%,Balance / Equity - Highest at EOD,Trailing,,Unlimited,No,1: 0.63,$4/round lot,Up to 75:1,"*Yes, 100% for standard account on 3rd payout",Yes,Yes,Trading Platform(s),Allowed with restriction: 2 minutes before and after a red folder news,Yes,Yes,No,14 Days,200K,Yes,White-Label,Match Trade,"cTrader, (Match Trader for US traders)",4.6,"November 1, 2022",Canada,46,1 step,Maven.png
Crypto Fund Trader,$570.00 $530.10 ,100K,80%,1: 8% 2: 5%,5%,10%,$3/round lot,1: 0.77,"15 trading days, or 30 calendar days",3.9,November 2022 Switzerland,875,Crypto Fund Trader - 2-Phases - 2-Steps 100K,$570.00,$530.10,100K,80%,8%,5%,5%,10%,Balance-based,Static,5 Days,Unlimited,No,1: 0.77,$3/round lot,Up to 100:1,No,No,Yes,"cTrader, (Match-Trader, TradeLocker for US traders)",Yes,Yes,No,No,"15 trading days, or 30 calendar days",200K,No,In-House,Liquidity Data Feed Providers,"CFT Platform, MT5, (Crypto Futures for US Traders)",3.9,"November 2, 2022",Switzerland,875,2 steps,Crypto Fund Trader.png
My Funded FX,$399.00 $349.13 ,100K,80%,1: 8%,2% daily pause,8%,"$3/round lot (MatchTrade, DXTrade)",1: 1,7 Days,4.2,June 2022 United States,576,My Funded FX - 1-Step Max - 1-Step 100K,$399.00,$349.13,100K,80%,8%, ,2% daily pause,8%,Balance-based,Static,,Unlimited,No,1: 1,"$3/round lot (MatchTrade, DXTrade)",Up to 1:30,0%,No,Yes,Buyers Rating,Allowed with restriction: 3 minutes before and after a red folder news,Yes,Yes,No,7 Days,400K,No,White-Label,"Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)",4.2,"June 1, 2022",United States,576,1 step,My Funded FX.svg
Fintokei,€519.00 €467.10 ,10K,50% up to 90%,10% (To withdraw),,10%,$6/round lot,1: 1,"Upon hitting the profit target, then every 14 days",4.8,April 2023 Czech Republic,514,Fintokei - SwiftTrader - Instant - Instant - 10K,€519.00,€467.10,10K,50% up to 90%,10% (To withdraw), , ,10%,,Trailing - HWM of historical SOD Equity,,Unlimited,No,1: 1,$6/round lot,Up to 50:1,"Yes, only ProTrader on your first payout",Yes,Yes,"Yes, Copy trades to Fintokei from your own accounts, if your master account is somewhere else than on Fintokei (approval needed), copying from third parties is prohibited","Yes, we just advise clients to be careful during these periods of possible higher market volatility",Yes,No,No,"Upon hitting the profit target, then every 14 days",200K,No,White Label,Purple Trading Seychelles,"MT4, MT5, cTrader",4.8,"April 1, 2023",Czech Republic,514,Instant,fintokei.svg
E8 Markets,$138.00 $110.40 ,25K,80%,1: 5% 2: 5% 3: 5%,5%,5%,"$0 standard, $5/round lot of raw spreads",1: 0.33,Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts,4.6,November 2021 United States,61,E8 Markets - E8 Track 1:1 - 3-Steps 25K,$138.00,$110.40,25K,80%,5%,5%,5%,5%,Balance-based,Static,1Day,Unlimited,No,1: 0.33,"$0 standard, $5/round lot of raw spreads",Up to 50:1,No,Yes,Yes,News Trading,Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts,400K,No,In-House,Virtual Markets,"MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)",4.6,"November 1, 2021",United States,61,3 steps,E8 Markets.svg
Finotive Funding,$725.00 $543.75 ,75K,"75%, 100% after 30 days",1: 7.50% 2: 5%,5%,10%,$3/round lot,1: 0.8,"Payout on demand, then every 7 Days",3.8,April 2021 Cyprus,502,Finotive Funding - 2 Phase Pro Challenge - 2-Step 75K,$725.00,$543.75,75K,"75%, 100% after 30 days",7.50%,5%,5%,10%,Balance-based,Static,,Unlimited,Yes (Instant accounts only),1: 0.8,$3/round lot,Up to 400:1,"Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)",Yes,Yes,"Yes, we just advise clients to be careful during these periods of possible higher market volatility","Yes, News Straddling is Prohibited",Yes,No,No,"Payout on demand, then every 7 Days",1.4M,Yes,In-House,Finotive Markets LLC,MT5,3.8,"April 23, 2021",Hungary,502,2 steps,Finotive Funding.svg
E8 Markets,$798.00 $758.10 ,200K,80%,1: 8%,2% daily pause,8%,"$0 standard, $5/round lot of raw spreads",1: 1,Payout on demand or 7 Days,4.6,November 2021 United States,417,E8 Markets - E8 Pro - 1-Step 200K,$798.00,$758.10,200K,80%,8%, ,2% daily pause,8%,Balance-based,Static,5 Days,Unlimited,No,1: 1,"$0 standard, $5/round lot of raw spreads",Up to 50:1,No,No,No,Weekend Holding,Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,Yes,No,Payout on demand or 7 Days,400K,No,In-House,Virtual Markets,"MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)",4.6,"November 1, 2021",United States,417,1 step,E8 Markets.svg
Finotive Funding,"$2,399.00 $1,799.25 ",100K,55%,x,5%,8%,$4/round lot,1: *,"Payout on demand, then every 7 Days",3.8,April 2021 Cyprus,1663,Finotive Funding - Instant Standard - Instant 100K,"$2,399.00","$1,799.25",100K,55%, , ,5%,8%,Balance-based,Static,,Unlimited,Yes (Instant accounts only),1: *,$4/round lot,Up to 100:1,"Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)",Yes,Yes,Yes,"Yes, News Straddling is Prohibited",Yes,No,No,"Payout on demand, then every 7 Days",1.4M,Yes,In-House,Finotive Markets LLC,MT5,3.8,"April 23, 2021",Hungary,1663,Instant,Finotive Funding.svg
Funding Pips,$499.00 $464.07 ,100K,80%,1: 10%,4%,6%,$2/round lot,1: 0.6,"Weekly, every Tuesday",4.3,November 2022 United Arab Emirates,186,Funding Pips - Challenges - 1-Step 100K,$499.00,$464.07,100K,80%,10%, ,4%,6%,Balance / Equity - Highest at EOD,Static,3 Days,Unlimited,No,1: 0.6,$2/round lot,Up to 50:1,"*Yes, 100% but on the 4th payout",Yes,Yes,Auto-close at Target,Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,"Weekly, every Tuesday",300K (50K for Pakistan traders),No,In-House,Liquidity Providers,"cTrader, (Match-Trader, TradeLocker for US traders)",4.3,"November 1, 2022",United Arab Emirates,186,1 step,Funding Pips.svg
