"FIRM","PRICE","ACCOUNT SIZE","PROFIT SPLIT","PROFIT TARGET","MAX. DAILY LOSS","MAX. TOTAL DRAWDOWN","COMMISION PER ROUND LOT (FOREX)","PROFIT TARGET TO DRAWDOWN RATIO","PAYOUT FREQUENCY","TRUST PILOT RATING","YEAR STABLISHED AND COUNTRY","LOYALTY POINTS","Name","Original Price","Discount Price","Account Size","Profit Split","Phase 1 Profit Target","Phase 2 Profit Target","Max Daily Loss","Max Total Drawdown","Daily Drawdown Reset Type","Drawdown Method","Minimun Trading Days","Maximun Trading Days","Stop-loss Required","Profit Target to Drawdown Ratio","Comissions (Forex)","Leverage","Refund Fee","Scaling","Expert Advisors (EAS) Allowed","Copy Trading","News Trading","Weekend Holding","Auto-close at Target","Drawdown Blocker","Payout Frequency","Max Allocation (without scaling)","Swap Free Accounts","Technology","Broker","Trading Platforms","Trust Pilot Rating","Established","Country","Loyalty Points"
"FundedNext","$999.00 $949.05 ","200K 2 steps","80% + 15% from challenge phase","1: 10% 2: 5%","5%","10%","$3/round lot","1: 0.67","First 28 days, then 14 Days","4.5","March 2022 United Arab Emirates","569","FundedNext - Evaluation - 2-Steps 200K","$999.00","$949.05","200K","80% + 15% from challenge phase","10%","5%","5%","10%","Balance-based","Static","5 Days","P1: 4 weeks P2: 8 weeks","No","1: 0.67","$3/round lot","Up to 100:1","100%","Yes","Yes","Weekend Holding","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","Yes","No","No","First 28 days, then 14 Days","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)","Yes","In-House","FundedNext Ltd","MT4, MT5, cTrader","4.5","March 1, 2022","United Arab Emirates","569"
"Finotive Funding","$299.00 $224.25 ","50K 2 steps","75%","1: 7.50% 2: 5%","5%","10%","$4/round lot","1: 0.8","Payout on demand, then every 7 Days","3.8","April 2021 Cyprus","207","Finotive Funding - 2 Phase Challenge - 2-Step 50K","$299.00","$224.25","50K","75%","7.50%","5%","5%","10%","Balance-based","Static","None","Unlimited","Yes (Instant accounts only)","1: 0.8","$4/round lot","Up to 200:1","Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)","Yes","Yes","Yes","Yes, News Straddling is Prohibited","Yes","No","No","Payout on demand, then every 7 Days","1.4M","Yes","In-House","Finotive Markets LLC","MT5","3.8","April 23, 2021","Hungary","207"
"Lark Funding"," ","200K 3 steps","80%","1: 5% 2: 4% 3: 3%","None","5%","$7/round lot","1: 0.42","First 14 days, then 7 days","4.3","June 2022 Canada","924","Lark Funding - 3-Stage Evaluation - 3-Steps 200K","$700.00"," ","200K","80%","5%","4%","None","5%","Balance-based","Static","None","Unlimited","No","1: 0.42","$7/round lot","Up to 15:1","No","No","Yes","Auto-close at Target","Yes","No","Yes","No","First 14 days, then 7 days","600K","Yes","White-Label","ThinkMarkets","cTrader, (DXtrader for US traders)","4.3","June 1, 2022","Canada","924"
"FundedNext","$199.00 $189.05 ","25K 2 steps","80% + 15% from challenge phase","1: 10% 2: 5%","5%","10%","$3/round lot","1: 0.67","First 28 days, then 14 Days","4.5","March 2022 United Arab Emirates","113","FundedNext - Evaluation - 2-Steps 25K","$199.00","$189.05","25K","80% + 15% from challenge phase","10%","5%","5%","10%","Balance-based","Static","5 Days","P1: 4 weeks P2: 8 weeks","No","1: 0.67","$3/round lot","Up to 100:1","100%","Yes","Yes","Yes","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","Yes","No","No","First 28 days, then 14 Days","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)","Yes","In-House","FundedNext Ltd","MT4, MT5, cTrader","4.5","March 1, 2022","United Arab Emirates","113"
"Finotive Funding","$1,250.00 $937.50 ","150K 2 steps","75%, 100% after 30 days","1: 7.50% 2: 5%","5%","10%","$3/round lot","1: 0.8","Payout on demand, then every 7 Days","3.8","April 2021 Cyprus","866","Finotive Funding - 2 Phase Pro Challenge - 2-Step 150K","$1,250.00","$937.50","150K","75%, 100% after 30 days","7.50%","5%","5%","10%","Balance-based","Static","None","Unlimited","Yes (Instant accounts only)","1: 0.8","$3/round lot","Up to 400:1","Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)","Yes","Yes","Drawdown Blocker","Yes, News Straddling is Prohibited","Yes","No","No","Payout on demand, then every 7 Days","1.4M","Yes","In-House","Finotive Markets LLC","MT5","3.8","April 23, 2021","Hungary","866"
"FXIFY","$375.00 $300.00 ","50K 1 step","75%","1: 10%","5%","6%","$0","1: 0.6","First payout on-demand, 30 days then after","4.3","April 2023 United Kingdom","701","FXIFY - 1-Phase - 1-Step 50K","$375.00","$300.00","50K","75%","10%"," ","5%","6%","Balance-based","Trailing","5 Days","Unlimited","No","1: 0.6","$0","Up to 30:1","100%","Yes","Yes","Yes","Yes","Yes","No","No","First payout on-demand, 30 days then after","800K","No","White-Label","FXPIG","MT4, MT5, (DXtrade for US traders)","4.3","April 1, 2023","United Kingdom","701"
"FXIFY","$1,599.00 $1,359.15 ","400K 3 steps","75%","1: 5% 2: 5% 3: 5%","5%","5%","$0","1: 0.33","First payout on-demand, 30 days then after","4.3","April 2023 United Kingdom","2990","FXIFY - 3-Phase - 3-Steps 400K","$1,599.00","$1,359.15","400K","75%","5%","5%","5%","5%","Balance-based","Static","5 Days","Unlimited","No","1: 0.33","$0","Up to 30:1","100%","Yes","Yes","Payout Frequency","Yes","Yes","No","No","First payout on-demand, 30 days then after","800K","No","White-Label","FXPIG","MT4, MT5, (DXtrade for US traders)","4.3","April 1, 2023","United Kingdom","2990"
"FundedNext","$49.00 $46.55 ","6K 2 steps","80% + 15% from challenge phase","1: 10% 2: 5%","5%","10%","$3/round lot","1: 0.67","First 28 days, then 14 Days","4.5","March 2022 United Arab Emirates","28","FundedNext - Evaluation - 2-Steps 6K","$49.00","$46.55","6K","80% + 15% from challenge phase","10%","5%","5%","10%","Balance-based","Static","5 Days","P1: 4 weeks P2: 8 weeks","No","1: 0.67","$3/round lot","Up to 100:1","100%","Yes","Yes","30 Days then Bi-weekly or Triple payday or Payout on Demand","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","Yes","No","No","First 28 days, then 14 Days","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)","Yes","In-House","FundedNext Ltd","MT4, MT5, cTrader","4.5","March 1, 2022","United Arab Emirates","28"
"Blue Guardian","$620.00 $461.90 ","100K 2 steps","85%","1: 10% 2: 4%","4%","10%","$5/round lot (Match Trade)","1: 0.71","14 Days","4.1","June 2021 United Arab Emirates","716","Blue Guardian - Elite Guardian - 2-Steps 100K","$620.00","$461.90","100K","85%","10%","4%","4%","10%","Balance / Equity - Highest at EOD","Static","3 Days with 0.5% profit each day","Unlimited","No","1: 0.71","$5/round lot (Match Trade)","Up to 50:1","100% on your 4th payout","Yes","Yes","Swap Free Accounts","Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.","Yes","No","Yes","14 Days","800K (50K for Pakistan traders)","No","White-Label","*","MT5, (TradeLocker, Match Trader for US traders)","4.1","June 1, 2021","United Arab Emirates","716"
"Instant Funding","$259.00 $220.15 ","50K 1 step","80%","1: 10%","3%","8%","$7/round lot","1: 0.8","First 14 days, then 7 days","4.6","June 2022 United Kingdom","363","Instant Funding - Static - One-Phase - 1-Step 50K","$259.00","$220.15","50K","80%","10%"," ","3%","8%","Balance / Equity - Highest at EOD","Static","3 Days","Unlimited","No","1: 0.8","$7/round lot","Up to 100:1","No","Yes","Yes","Yes","Allowed: Evaluation and Swing accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","No","Yes","No","First 14 days, then 7 days","200K","No","In-House"," ","cTrader, MT5, (DXTrade for US traders)","4.6","June 1, 2022","United Kingdom","363"
"OANDA Prop Trader","$199.00 $149.25 ","25K 2 steps","80%","1: 8% (5% Max Daily Profit) 2: 5% (2% Max Daily Profit)","5%","10%","$0","1: 0.77","Minimum of 14 days","4.1","January 2024 Malta","203","OANDA Prop Trader - Titanium - 2-Steps 25K","$199.00","$149.25","25K","80%","8% (5% Max Daily Profit)","5% (2% Max Daily Profit)","5%","10%","Equity-based","Trailing","None","Unlimited","No","1: 0.77","$0","Up to 100:1","Yes, 100% upon first payout","No","Yes","Technology","Allowed with restriction: 3 minutes prior or after to high-impact news","Yes","Yes","No","Minimum of 14 days","500K","No","In-House","OANDA Global Markets","MT5","4.1","January 20, 2024","Malta","203"
"Funded Trading Plus","$349.00 $314.10 ","50K 1 step","80%","1: 10%","4%","6%","$7/round lot","1: 0.6","Payout on demand, then every 7 Days","4.7","November 2021 United Kingdom","288","Funded Trading Plus - One-Phase Experienced - 1 Step 50K","$349.00","$314.10","50K","80%","10%"," ","4%","6%","Balance-based","Relative Trailing","None","Unlimited","No","1: 0.6","$7/round lot","Up to 30:1","*Yes, 100% on every plan but in the Instant plan the fee is refund when you reach 10% profit on the funded stage","Yes","Yes","In-House","Yes","Yes","No","No","Payout on demand, then every 7 Days","400K","No","White-Label","GooeyTrade, Match Trade, Intertrader","MT4, MT5, cTrader, (DXTrade, Match Trader for US traders)","4.7","November 1, 2021","United Kingdom","288"
"For Traders","$117.00 $98.28 ","15K 1 step","80% + 15% from challenge phase","1: 9%","3%","6%","$5/round lot","1: 0.67","14 Days","4.2","July 2023 United Arab Emirates","162","For Traders - 1-Step Challenge - 1-Step 15K","$117.00"," ","15K","80% + 15% from challenge phase","9%"," ","3%","6%","Balance-based","Trailing","3 Days","Unlimited","No","1: 0.67","$5/round lot","Up to 125:1","100%","Yes","No","Broker","Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","14 Days","300K","No","White-Label","Capital Markets","cTrader, TradeLocker, (DXTrade for US traders)","4.2","July 1, 2023","United Arab Emirates","162"
"FXIFY","$399.00 $339.15 ","100K 3 steps","75%","1: 5% 2: 5% 3: 5%","5%","5%","$0","1: 0.33","First payout on-demand, 30 days then after","4.3","April 2023 United Kingdom","746","FXIFY - 3-Phase - 3-Steps 100K","$399.00","$339.15","100K","75%","5%","5%","5%","5%","Balance-based","Static","5 Days","Unlimited","No","1: 0.33","$0","Up to 30:1","100%","Yes","Yes","Liquidity Providers","Yes","Yes","No","No","First payout on-demand, 30 days then after","800K","No","White-Label","FXPIG","MT4, MT5, (DXtrade for US traders)","4.3","April 1, 2023","United Kingdom","746"
"AquaFunded","$1,227.00 $858.90 ","200K 2 steps","90% or 95%","1: 10% 2: 5%","5%","10%","$5","1: 0.67","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","1535","AquaFunded - Whale Challenge - 2-Step Pro Challenge - 2-Steps 200K","$1,227.00","$858.90","200K","90% or 95%","10%","5%","5%","10%","Equity-based","Static","3 Days","Unlimited","No","1: 0.67","$5","Up to 50:1","100%","Yes","Yes","Trading Platform(s)","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","1535"
"E8 Markets","$598.00 $478.40 ","200K 3 steps","80%","1: 5% 2: 5% 3: 5%","5%","5%","$0 standard, $5/round lot of raw spreads","1: 0.33","Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts","4.6","November 2021 United States","263","E8 Markets - E8 Track 1:1 - 3-Steps 200K","$598.00","$478.40","200K","80%","5%","5%","5%","5%","Balance-based","Static","1Day","Unlimited","No","1: 0.33","$0 standard, $5/round lot of raw spreads","Up to 50:1","No","Yes","Yes","Match Trader, TradeLocker","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts","400K","No","In-House","Virtual Markets","MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)","4.6","November 1, 2021","United States","263"
"FundedNext","$1099.00 $1,044.05 ","200K 1 step","90% + 15% from challenge phase","1: 10%","3%","6%","$3/round lot","1: 0.6","5 Days, then 5 business days","4.5","March 2022 United Arab Emirates","626","FundedNext - Stellar Challenge - 1-Step 200K","$1099.00","$1,044.05","200K","90% + 15% from challenge phase","10%"," ","3%","6%","Balance-based","Static","2 Days","Unlimited","No","1: 0.6","$3/round lot","Up to 30:1","100%","Yes","Yes","Buyers Rating","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","Yes","No","No","5 Days, then 5 business days","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)","Yes","In-House","FundedNext Ltd","MT4, MT5, cTrader","4.5","March 1, 2022","United Arab Emirates","626"
"Funding Pips","$99.00 $92.07 ","10K 1 step","80%","1: 10%","4%","6%","$2/round lot","1: 0.6","Weekly, every Tuesday","4.3","November 2022 United Arab Emirates","37","Funding Pips - Challenges - 1-Step 10K","$99.00","$92.07","10K","80%","10%"," ","4%","6%","Balance / Equity - Highest at EOD","Static","3 Days","Unlimited","No","1: 0.6","$2/round lot","Up to 50:1","*Yes, 100% but on the 4th payout","Yes","Yes","No","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","Weekly, every Tuesday","300K (50K for Pakistan traders)","No","In-House","Liquidity Providers","cTrader, (Match-Trader, TradeLocker for US traders)","4.3","November 1, 2022","United Arab Emirates","37"
"Fintokei","€99.00 €89.10 ","10K 2 steps","80% up to 95%","1: 8% 2: 5%","5%","10%","$6/round lot","1: 0.77","14 days from the day first trade was placed","4.8","April 2023 Czech Republic","98","Fintokei - Pro Trader - 2Phase Evaluation - 2-Step- 10K","€99.00","€89.10","10K","80% up to 95%","8%","5%","5%","10%","Equity-based - SOD","Static","3 Days","Unlimited","No","1: 0.77","$6/round lot","Up to 100:1","Yes, only ProTrader on your first payout","Yes","Yes","News Trading","Yes, we just advise clients to be careful during these periods of possible higher market volatility","Yes","No","No","14 days from the day first trade was placed","500K","No","White Label","Purple Trading Seychelles","MT4, MT5, cTrader","4.8","April 1, 2023","Czech Republic","98"
"City Traders Imperium"," ","80K Instant","60% up 100%","x","None","6%","$5.50/round lot","1: 0.6","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","4.5","June 2018 United Arab Emirates","7918","City Traders Imperium - Direct Funding - Direct 80K","$4,799.00"," ","80K","60% up 100%"," "," "," ","6%","Balance-based","Static","None","Unlimited","Yes","1: 0.6","$5.50/round lot","Up to 10:1","*Yes, 100% but only on the 2-step","Yes","Yes","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","Yes","No","No","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","160K","No","In-House","Mabicon","MT5","4.5","June 1, 2018","United Arab Emirates","7918"
"City Traders Imperium","$59.00 $50.15 ","5K 2 steps","80% up to 100% + Monthly Salary","1: 10% 2: 5%","5%","10%","$4.50/round lot","1: 0.67","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","4.5","June 2018 United Arab Emirates","83","City Traders Imperium - 2-Step Challenge Funding - 2-Steps 5K","$59.00","$50.15","5K","80% up to 100% + Monthly Salary","10%","5%","5%","10%","Balance-based","Static","None","Unlimited","Yes","1: 0.67","$4.50/round lot","Up to 30:1","*Yes, 100% but only on the 2-step","Yes","Yes","Weekend Holding","Yes","Yes","No","No","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","200K","No","In-House","Mabicon","MT5","4.5","June 1, 2018","United Arab Emirates","83"
"Trade The Pool","$1,240.00 $1,116.00 ","260K 1 step","80%","1: $12,000 (2xDD)","$2,000","$6,000","$0.005 with a minimum charge of $0.75 per trade","1: 0.5","14 days","4.5","September 2022 Israel","1228","Trade The Pool - Ultimate Buying Power - 1-Step - 260K","$1,240.00","$1,116.00","260K","80%","$12,000 (2xDD)"," ","$2,000","$6,000","Balance-based","Static","30 Days","45 Days","No","1: 0.5","$0.005 with a minimum charge of $0.75 per trade","Up to","No","Yes","No","Yes","Yes","Yes","No","No","14 days","No limit","No"," ","Interactive Brokers","Trader Evolutions","4.5","September 1, 2022","Israel","1228"
"FundedNext","$139.00 $132.05 ","25K 2 steps","80%","1: 8% 2: 4%","4%","8%","$7/round lot","1: 0.67","30 Days for the first payout and 14 Days after","4.5","March 2022 United Arab Emirates","79","FundedNext - Stellar Lite Challenge - 2-Steps 25K","$139.00","$132.05","25K","80%","8%","4%","4%","8%","Balance-based","Static","5 Days","Unlimited","No","1: 0.67","$7/round lot","Up to 100:1","100%","Yes","Yes","Auto-close at Target","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","Yes","No","No","30 Days for the first payout and 14 Days after","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)","Yes","In-House","FundedNext Ltd","MT4, MT5, cTrader","4.5","March 1, 2022","United Arab Emirates","79"
"The Trading Pit","$999.00 $899.10 ","100K 1 step","80%","1: 10%","4%","7%","$5/round lot","1: 0.7","Upon hitting the profit target","4.0","October 2022 Liechtenstein","1484","The Trading Pit - CFD Classic - 1-Phase Evaluation - 1-Step 100K","$999.00","$899.10","100K","80%","10%"," ","4%","7%","Equity-based at 16:00 CT","Trailing based on high-equity","5 Days","Unlimited","Yes","1: 0.7","$5/round lot","Up to 30:1","*Yes, 100% only in the CFD challenge","Yes","Yes","Yes","Allowed with restriction: 2 minutes prior or after to high-impact news","Yes","No","No","Upon hitting the profit target","1 Earning account per user","No","In-House","FXFlat, GBE Brokers","MT5, MT4 for CFD- Not available for US traders, ATAS, Quantower, R/Trader, Volsys for Futures- (available for US traders)","4.0","October 1, 2022","Liechtenstein","1484"
"AquaFunded","$417.00 $291.90 ","50K 2 steps","90% or 95%","1: 10% 2: 5%","5%","10%","$5","1: 0.67","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","512","AquaFunded - Dolphin Challenge - 2-Step Pro Challenge - 2-Steps 50K","$417.00","$291.90","50K","90% or 95%","10%","5%","5%","10%","Equity-based","Static","3 Days","Unlimited","No","1: 0.67","$5","Up to 50:1","100%","Yes","Yes","Drawdown Blocker","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","512"
